Publisher,Time,Author,Title
Bloomsbury Academic,9/8/16,Leslie Davis Burns,"The Business of Fashion: Designing, Manufacturing, and Marketing / Edition 5"
Potter/TenSpeed/Harmony,9/1/09,Geshe Michael Roach,The Diamond Cutter: The Buddha on Managing Your Business and Your Life
Penguin Publishing Group,10/25/11,Roy M. Spence,"It's Not What You Sell, It's What You Stand For: Why Every Extraordinary Business Is Driven by Purpose"
CreateSpace Publishing,9/19/17,Alan T. Norman,"Mastering Bitcoin for Starters: Bitcoin and Cryptocurrency Technologies, Mining, Investing and Trading - Bitcoin Book 1, Blockchain, Wallet, Business"
Entrepreneur Press,1/10/17,Rick Grossmann,Franchise Bible: How to Buy a Franchise or Franchise Your Own Business
Entrepreneur Press,7/11/17,The Staff of Entrepreneur Media,Start Your Own Freight Brokerage Business: Your Step-By-Step Guide to Success
Penguin Publishing Group,5/2/17,Daniel DiPiazza,"Rich20Something: Ditch Your Average Job, Start an Epic Business, and Score the Life You Want"
Random House Publishing Group,9/20/16,C. L. Parker,Coming Clean: Monkey Business Trio
Penguin Publishing Group,8/28/07,Bruce C. Greenwald,Competition Demystified: A Radically Simplified Approach to Business Strategy
Random House Publishing Group,6/28/86,Mark H. McCormack,What They Don't Teach You at Harvard Business School: Notes from a Street-Smart Executive
Cengage Learning,1/1/17,Kenneth W. Clarkson,Business Law: Text and Cases / Edition 14
HarperCollins Publishers,12/15/95,Helen Palmer,The Enneagram in Love and Work: Understanding Your Intimate and Business Relationships
"Mill City Press, Inc.",11/14/12,MD MBA Tom Harbin,The Business Side of Medicine: What Medical Schools Don't Teach You
Wiley,3/27/12,Steven D. Strauss,The Small Business Bible: Everything You Need to Know to Succeed in Your Small Business
Berrett-Koehler Publishers,5/1/08,Mike Song,Hamster Revolution: How to Manage Your Email Before It Manages You
HarperCollins Publishers,11/8/05,Harvey B Mackay,"Swim with the Sharks Without Being Eaten Alive: Outsell, Outmanage, Outmotivate, and Outnegotiate Your Competition"
CreateSpace Publishing,11/28/15,Ivy Ejam,Minding Her Business: A Woman's Guide & Journal for Living an Extraordinary Life
CreateSpace Publishing,12/31/16,Suzanne Carpenter,"Soap Making Business Startup: How to Start, Run & Grow a Million Dollar Success From Home!"
AMACOM,2/1/18,Colleen DeBaise,Start a Successful Business: Expert Advice to Take Your Startup from Idea to Empire
The Crown Publishing Group,5/16/17,Bryce G. Hoffman,Red Teaming: How Your Business Can Conquer the Competition by Challenging Everything
"Alicia Productions, Incorporated",4/23/14,Mrs Alicia Griffin,10 Steps to Owning Your Own Trucking: Freight Broker/Agent Business
Columbia University Press,1/10/17,Leonard Sherman,"If You're in a Dogfight, Become a Cat!: Strategies for Long-Term Growth"
Pearson,1/10/15,Steve Mariotti,Entrepreneurship: Starting and Operating A Small Business / Edition 4
Greenleaf Book Group Press,4/4/17,David Osborn,"Wealth Can't Wait: Avoid the 7 Wealth Traps, Implement the 7 Business Pillars, and Complete a Life Audit Today!"
Wiley,11/16/09,Jason Ryan Dorsey,Y-Size Your Business: How Gen Y Employees Can Save You Money and Grow Your Business
CreateSpace Publishing,10/11/17,Michelia ly Weekly Budget Planner,Monthly Budget Planner: Weekly Expense Tracker Bill Organizer Notebook Business Money Personal Finance Journal Planning Workbook size 8.5x11 Inches Glitter Dots Style
Berrett-Koehler Publishers,5/7/12,Bob Johansen,Leaders Make the Future: Ten New Leadership Skills for an Uncertain World
"Son of the Sea, Inc.",5/21/17,Maria Brophy,"Art Money & Success: A complete and easy-to-follow system for the artist who wasn't born with a business mind. Learn how to find buyers, get paid fairly, negotiate nicely, deal with copycats and sell more art."
"Norton, W. W. & Company, Inc.",4/28/93,Avinash K. Dixit,"Thinking Strategically: The Competitive Edge in Business, Politics and Everyday Life / Edition 4"
"Hal Elrod International, Inc.",11/4/16,Hal Elrod,The Miracle Morning for Entrepreneurs: Elevate Your SELF to Elevate Your BUSINESS
Koehler Books,5/15/17,Bill Green,ALL IN: 101 Real Life Business Lessons For Emerging Entrepreneurs
CreateSpace Publishing,4/25/17,Molly Suber Thorpe,The Calligrapher's Business Handbook: Pricing and Policies for Lettering Artists
Polyface,8/15/17,Joel Salatin,"Your Successful Farm Business: Production, Profit, Pleasure"
Dunham Books,4/21/15,Ryan Levesque,Ask: The Counterintuitive Online Formula to Discover Exactly What Your Customers Want to Buy...Create a Mass of Raving Fans...and Take Any Business to the Next Level
Disruption Books,9/12/17,Halee Fischer-Wright,"Back To Balance: The Art, Science, And Business of Medicine"
The Crown Publishing Group,5/17/16,Rana Foroohar,Makers and Takers: The Rise of Finance and the Fall of American Business
Columbia University Press,6/28/11,Jeanne Liedtka,Designing for Growth: A Design Thinking Tool Kit for Managers
Bloomsbury Academic,9/8/16,Leslie Davis Burns,The Business of Fashion: Bundle Book + Studio Access Card / Edition 5
Free Press,12/28/10,Robin Sharma,The Leader Who Had No Title: A Modern Fable on Real Success in Business and in Life
Houghton Mifflin Harcourt,4/14/15,L. A. Meyer,"Boston Jacky: Being an Account of the Further Adventures of Jacky Faber, Taking Care of Business (Bloody Jack Adventure Series #11)"
Harvard Business Review Press,10/24/17,Clayton M. Christensen,HBR Classics Boxed Set (16 Books)
HarperCollins Publishers,9/27/11,Robert Herjavec,Driven: How To Succeed In Business And In Life
Columbia University Press,4/30/13,Jim Paul,What I Learned Losing a Million Dollars
McGraw-Hill Higher Education,6/9/11,George A. Steiner,"Business, Government, and Society: A Managerial Perspective / Edition 13"
HarperCollins Publishers,3/17/09,Barbara Smit,Sneaker Wars: The Enemy Brothers Who Founded Adidas and Puma and the Family Feud That Forever Changed the Business of Sports
"BenBella Books, Inc.",2/7/17,William Bronchick,The Business of Flipping Homes: Short-Term Real Estate Investing for Long-Term Wealth
Adams Media,1/2/15,Melinda F Emerson,Become Your Own Boss in 12 Months: A Month-by-Month Guide to a Business that Works
HarperCollins Publishers,2/14/17,C. S. Lewis,The Business of Heaven: Daily Readings
Crossway,11/28/03,Wayne Grudem,Business for the Glory of God: The Bible's Teaching on the Moral Goodness of Business
Hachette Books,7/8/08,Chris Anderson,The Long Tail: Why the Future of Business Is Selling Less of More
McGraw-Hill Education,1/19/16,Eric Teoro,"Annual Editions: Business Ethics, 27/e / Edition 27"
DC Comics,12/20/16,James Bonny,Deathstroke Vol. 4: Family Business
Wiley,2/13/18,Shane Snow,"The Storytelling Edge: How to Transform Your Business, Stop Screaming into the Void, and Make People Love You"
Wiley,1/20/15,Adam Morgan,"A Beautiful Constraint: How To Transform Your Limitations Into Advantages, and Why It's Everyone's Business"
Taylor & Francis,8/6/14,James Alburger,The Art of Voice Acting: The Craft and Business of Performing for Voiceover / Edition 5
New World Library,6/14/16,Amy Ippoliti,The Art and Business of Teaching Yoga: The Yoga Professional's Guide to a Fulfilling Career
HarperCollins Publishers,8/22/00,Kenneth Roman,"Writing That Works, 3rd Edition: How to Communicate Effectively in Business"
CreateSpace Publishing,4/25/17,Ann Robinson,"Natural & Organic Liquid Soap Making Business Startup: Learn How to Make Shampoo, Conditioner, Body Wash, Sunscreen Lotion, Muscle Balm, Hand Sanitizers, Pet Shampoo & So Much More"
CreateSpace Publishing,5/23/16,Tony Rohn,"Elon Musk: 100 Success Lessons from Elon Musk On Work, Life, Innovation, Business, Leadership, Entrepreneurship & Sustainable Development"
Cengage Learning,1/1/16,Roger LeRoy Miller,"Cengage Advantage Books: Business Law Today, The Essentials: Text and Summarized Cases / Edition 11"
Pearson,8/15/92,Gary Blake,"Elements of Business Writing: A Guide to Writing Clear, Concise Letters, Mem / Edition 1"
New Society Publishers,2/7/17,Zach Loeks,The Permaculture Market Garden: A Visual Guide to a Profitable Whole-systems Farm Business
McGraw-Hill Professional Publishing,8/8/08,David D'Alessandro,Career Warfare: 10 Rules for Building a Sucessful Personal Brand on the Business Battlefield / Edition 2
Entrepreneur Press,7/12/16,The Staff of Entrepreneur Media,Start Your Own Construction and Contracting Business: Your Step-by-Step Guide to Success
CreateSpace Publishing,7/11/16,Diego Rodriguez,"The Ultimate Guide On How To Build Credit For Your Business: The ultimate, step-by-step guide on HOW to build business credit and exactly WHERE to apply"
Real Estate Business Press,10/1/15,Nick Krautter,The Golden Handoff: How to Buy and Sell a Real Estate Agent's Business
"Barron's Educational Series, Incorporated",11/1/17,Michael Covington Ph.D,Dictionary of Computer and Internet Terms
AMACOM,3/9/17,Leonard Green,"The Entrepreneur's Playbook: More than 100 Proven Strategies, Tips, and Techniques to Build a Radically Successful Business"
"Health Communications, Incorporated",3/6/12,Jack Canfield,"The Power of Focus Tenth Anniversary Edition: How to Hit Your Business, Personal and Financial Targets with Absolute Confidence and Certainty"
Entrepreneur Press,11/21/17,Mark J. Kohler,The Business Owner's Guide to Financial Freedom: What Wall Street Isn't Telling You
Center for the Childbearing Year Press,9/6/14,Patty Brennan,The Doula Business Guide: Creating a Successful Motherbaby Business
Wiley,11/18/13,Ken Black,"Business Statistics, Binder Ready Version: For Contemporary Decision Making / Edition 8"
Pearson,1/29/15,John J. Wild,International Business: The Challenges of Globalization / Edition 8
St. Martin's Press,6/27/17,Carmine Gallo,"The Storyteller's Secret: From TED Speakers to Business Legends, Why Some Ideas Catch On and Others Don't"
"Barron's Educational Series, Incorporated",5/1/12,Thomas P. Fitch,Dictionary of Banking Terms
Random House Publishing Group,9/4/18,Melinda Mullet,Deadly Dram: A Whiskey Business Mystery
CreateSpace Publishing,5/22/17,Linda Rawson,"The Minority and Women-Owned Small Business Guide to Government Contracts: Everything You Need to Know to Get Started, 2nd Edition"
Penguin Publishing Group,2/9/11,Barbara Corcoran,"Shark Tales: How I Turned $1,000 into a Billion Dollar Business"
HarperCollins Publishers,5/3/05,Adam Ginsberg,"How to Buy, Sell, and Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days"
Elsevier Science,11/21/14,Rick Sherman,Business Intelligence Guidebook: From Data Integration to Analytics
St. Martin's Press,4/17/18,Jim Tselikis,Cousins Maine Lobster: How One Food Truck Became a Multimillion-Dollar Business
Scribner,1/3/17,David Clark,"Tao of Charlie Munger: A Compilation of Quotes from Berkshire Hathaway's Vice Chairman on Life, Business, and the Pursuit of Wealth With Commentary by David Clark"
Beacon Publishing,3/26/18,John Abbate,Invest Yourself: Daring to Be Catholic In Today's Business World
Book Boutiques,10/31/18,Dakota Cassidy,Then There Were Nun
St. Martin's Press,4/10/18,Sarah Krasnostein,"The Trauma Cleaner: One Woman's Extraordinary Life in the Business of Death, Decay, and Disaster"
Quercus,7/16/03,Ernest Gundling,Working Globesmart: 12 People Skills for Doing Business Across Borders
McGraw-Hill Professional Publishing,8/31/12,Art Byrne,The Lean Turnaround: How Business Leaders Use Lean Principles to Create Value and Transform Their Company / Edition 1
CreateSpace Publishing,9/8/17,Ronald Harris,Trucking Freight Brokerage Business Start-Up: Step By Step Guide To Become a Successful Freight Broker
Penguin Publishing Group,3/31/15,Pat Heim,Hardball for Women: Winning at the Game of Business: Third Edition
University Press of Mississippi,5/15/18,George T. Malvaney,"Cups Up: How I Organized a Klavern, Plotted a Coup, Survived Prison, Graduated College, Fought Polluters, and Started a Business"
Simon & Schuster,5/15/18,Lior Arussy,Next Is Now: 5 Steps for Embracing Change-Building a Business that Thrives into the Future
Crown Publishing Group,4/1/18,Maria Hatzistefanis,How to Be an Overnight Success: Making It in Business
Entrepreneur Press,4/20/18,Javier Hasse,Start Your Own Cannabis Business: Your Step-By-Step Guide to the Marijuana Industry
Hachette Books,1/28/04,Robert L. Shook,Doing Business by the Good Book: 52 Lessons on Success Straight from the Bible
Center Street,6/5/18,Kerry Kennedy,"Robert F. Kennedy: Ripples of Hope: Kerry Kennedy in Conversation with Heads of State, Business Leaders, Influencers, and Activists about Her Father's Impact on Their Lives"
McGraw-Hill Professional Publishing,12/1/97,Edward E. Scannell,"The Big Book of Team Building Games: Trust-Building Activities, Team Spirit Exercises, and Other Fun Things to Do (Big Book of Business Games Series) / Edition 1"
Adams Media,5/18/10,Gerald A Michaelson,Sun Tzu - The Art of War for Managers: 50 Strategic Rules Updated for Today's Business
Knopf Doubleday Publishing Group,9/9/08,Robert B. Reich,"Supercapitalism: The Transformation of Business, Democracy, and Everyday Life"
Rose Publishing CA,6/28/16,Gregory Baumer,God and Money: How We Discovered True Riches at Harvard Business School
HarperCollins Publishers,4/25/17,Duff McDonald,"The Golden Passport: Harvard Business School, the Limits of Capitalism, and the Moral Failure of the MBA Elite"
HarperCollins Publishers,10/14/04,Michael E. Gerber,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It
In Easy Steps Limited,7/10/18,Bill Mantovani,Xero in easy steps: Making business accounting simple
Quercus,4/3/18,Tom Butler-Bowdon,"50 Business Classics: Your shortcut to the most important ideas on innovation, management and strategy"
Morgan James Publishing,1/4/18,Aaron Muller,"The Lifestyle Business Owner: How to Buy a Business, Grow Your Profits, and Make It Run Without You"
HarperCollins Publishers,1/18/11,Henry Cloud,"Necessary Endings: The Employees, Businesses, and Relationships That All of Us Have to Give Up in Order to Move Forward"
The Crown Publishing Group,9/13/11,Eric Ries,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses
St. Martin's Press,4/18/17,Michael Bloomberg,"Climate of Hope: How Cities, Businesses, and Citizens Can Save the Planet"
HarperCollins Publishers,6/1/04,Michael E. Gerber,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do about It
Harvard Business Review Press,5/8/18,Peter Weill,What's Your Digital Business Model?: Six Questions to Help You Build the Next-Generation Enterprise
"SelectBooks, Inc.",5/15/18,John Hillen,What Happens Now?: Reinvent Yourself as a Leader Before Your Business Outruns You
Quercus,7/10/18,Jonathan MacDonald,Powered by Change: How to design your business for perpetual success
Liveright Publishing Corporation,2/27/18,Adam Winkler,We the Corporations: How American Businesses Won Their Civil Rights
"Elgar, Edward Publishing, Inc.",3/30/18,Natalie Mizik,"Handbook of Marketing Analytics: Methods and Applications in Marketing Management, Public Policy, and Litigation Support"
